comment_id,username,comment_text
1,user1,Absolutely inspiring.
2,user2,You're an idiot.
3,user3,Excellent!
4,user4,This is stupid.
5,user5,You're trash!
6,user6,This is brilliant!
7,user7,Excellent!
8,user8,Wonderful contribution.
9,user9,Shut your mouth!
10,user10,Shut your mouth!
11,user11,Shut your mouth!
12,user12,Shut your mouth!
13,user13,This is stupid.
14,user14,You're trash!
15,user15,You're a loser!
16,user16,This is stupid.
17,user17,Wonderful contribution.
18,user18,Go to hell!
19,user19,"Great job, keep it up!"
20,user20,You're a fool.
21,user21,Why are you even here?
22,user22,You're trash!
23,user23,Shut your mouth!
24,user24,Well done!
25,user25,Why are you even here?
26,user26,You're a loser!
27,user27,I love your work.
28,user28,Why are you even here?
29,user29,You're awesome!
30,user30,Excellent!
31,user31,You're trash!
32,user32,Excellent!
33,user33,Absolutely inspiring.
34,user34,Excellent!
35,user35,You're trash!
36,user36,I love your work.
37,user37,Why are you even here?
38,user38,You're awesome!
39,user39,Shut your mouth!
40,user40,Such a wonderful idea!
41,user41,Such a wonderful idea!
42,user42,I love your work.
43,user43,Shut your mouth!
44,user44,You're awesome!
45,user45,No one wants you here.
46,user46,This is stupid.
47,user47,You're trash!
48,user48,This is brilliant!
49,user49,Amazing explanation!
50,user50,You're a fool.
51,user51,You're awesome!
52,user52,Wonderful contribution.
53,user53,Amazing explanation!
54,user54,You're awesome!
55,user55,Shut your mouth!
56,user56,Shut your mouth!
57,user57,"Great job, keep it up!"
58,user58,This is stupid.
59,user59,This is brilliant!
60,user60,Wonderful contribution.
61,user61,Well done!
62,user62,You're a loser!
63,user63,No one wants you here.
64,user64,"Great job, keep it up!"
65,user65,Such a wonderful idea!
66,user66,Amazing explanation!
67,user67,"Great job, keep it up!"
68,user68,This is stupid.
69,user69,Amazing explanation!
70,user70,Well done!
71,user71,Amazing explanation!
72,user72,Go to hell!
73,user73,You're a fool.
74,user74,Well done!
75,user75,Such a wonderful idea!
76,user76,You're an idiot.
77,user77,Such a wonderful idea!
78,user78,Such a wonderful idea!
79,user79,You're a loser!
80,user80,Well done!
81,user81,Well done!
82,user82,Why are you even here?
83,user83,Excellent!
84,user84,Such a wonderful idea!
85,user85,Well done!
86,user86,Such a wonderful idea!
87,user87,You're pathetic.
88,user88,Wonderful contribution.
89,user89,Why are you even here?
90,user90,Well done!
91,user91,You're a fool.
92,user92,This is brilliant!
93,user93,No one wants you here.
94,user94,Such a wonderful idea!
95,user95,Why are you even here?
96,user96,This is stupid.
97,user97,Well done!
98,user98,Well done!
99,user99,You're trash!
100,user100,Amazing explanation!
